,id,age,ym,hc,kl,CP,kl_numeric,cd1,cd2,exp,trial,response,trialType,sectionTrial,expected,correct,suf,resp,response_trunc
0,ISEJ5_230320,31.33333333,2;7,9,2,False,2,0,0,SH,s1,2,s,1,2,True,True,2,2
1,PDBR7_230321,46.53333333,3;10,13,2,False,2,1,1,SH,s1,3,s,1,2,False,True,3,3
2,PDSN3_230321,36.4,3;0,5,3,False,3,0,0,SH,s1,3,s,1,2,False,True,3,3
3,PDFB8_230321,45.93333333,3;9,29,CP,True,,0,0,SH,s1,4,s,1,2,False,,4,4
4,PDKB12_230321,56.56666667,4;8,12,CP,True,,0,1,SH,s1,4,s,1,2,False,,4,4
5,PDBN17_230321,52.8,4;4,28,CP,True,,1,0,SH,s1,2,s,1,2,True,,2,2
6,PDAB2_230323,36.03333333,3;0,4,2,False,2,0,0,SH,s1,1,s,1,2,False,True,1,1
7,PDC9_230323,42.46666667,3;6,10,4,False,4,0,0,SH,s1,2,s,1,2,True,True,2,2
8,PDLO10_230323,50.63333333,4;2,11,CP,True,,0,1,SH,s1,4,s,1,2,False,,4,4
9,PDA15_230323,55.33333333,4;7,12,CP,True,,1,0,SH,s1,4,s,1,2,False,,4,4
10,ACUOS1_230324,39.16666667,3;3,4,2,False,2,0,0,SH,s1,4,s,1,2,False,True,4,4
11,ACUJ13_230324,43.8,3;7,13,3,False,3,1,1,SH,s1,2,s,1,2,True,True,2,2
12,ACUEJ5_230324,45.26666667,3;9,3,4,False,4,0,0,SH,s1,2,s,1,2,True,True,2,2
13,ACUEW15_230324,46.36666667,3;10,17,CP,True,,1,0,SH,s1,2,s,1,2,True,,2,2
14,ACUOY10_230324,53.8,4;5,49,CP,True,,0,1,SH,s1,2,s,1,2,True,,2,2
15,ACOCW3_230328,57.16666667,4;9,10,CP,True,,0,0,UM,s1,3,s,1,2,False,,3,3
16,ACOED15_230328,59.13333333,4;11,59,CP,True,,1,1,UM,s1,1,s,1,2,False,,1,1
17,FCRK14_230330,49.4,4;1,10,3,False,3,0,0,UM,s1,2,s,1,2,True,True,2,2
18,GDNW2_230331,36.73333333,3;0,,2,False,2,1,1,UM,s1,2,s,1,2,True,True,2,2
19,UCVL4_230530,65.7,5;5,25,CP,True,,1,1,SH,s1,2,s,1,2,True,,2,2
20,FLML01_230713,48.23,4;0,10,2,False,2,0,0,LZ,s1,2,s,1,2,True,True,2,2
21,FLMM02_230713,42.26,3;6,13,3,False,3,0,0,LZ,s1,1,s,1,2,False,True,1,1
22,FLE03_230713,67.33,5;7,100,CP,True,,0,0,LZ,s1,2,s,1,2,True,,2,2
23,FLD01_230720,31.3,2;7,9,2,False,2,0,0,LZ,s1,2,s,1,2,True,True,2,2
24,FLEB01_230722,69.06,5;9,26,CP,True,,1,1,LZ,s1,2,s,1,2,True,,2,2
25,FLHM02_230722,83.2,6;11,40,CP,True,,0,0,LZ,s1,2,s,1,2,True,,2,2
26,FLEK03_230722,60.1,5;0,29,CP,True,,1,1,LZ,s1,1,s,1,2,False,,1,1
27,ADR08_230724,44.8,3;8,12,3,False,3,0,1,LZ,s1,2,s,1,2,True,True,2,2
28,ADL06_230724,45.03333333,3;9,12,3,False,3,1,0,LZ,s1,1,s,1,2,False,True,1,1
29,ADM05_230724,49.43333333,4;1,12,CP,True,,0,0,LZ,s1,4,s,1,2,False,,4,4
30,ADE02_230724,69.43333333,5;9,18,CP,True,,0,0,LZ,s1,2,s,1,2,True,,2,2
31,ADA03_230724,64.5,5;4,21,CP,True,,1,1,LZ,s1,10,s,1,2,False,,99,0
32,FLBR01_230803,63.86,5;3,43,CP,True,,0,0,LZ,s1,2,s,1,2,True,,2,2
33,FLGK02_230803,66.66,5;6,29,CP,True,,1,1,LZ,s1,2,s,1,2,True,,2,2
34,FLB01_230831,43.83333333,3;7,6,3,False,3,0,0,SL,s1,2,s,1,2,True,True,2,2
35,FLZK01_230902,24.16666667,2;0,1,2,False,2,1,1,LZ,s1,5,s,1,2,False,True,5,5
36,FLMC02_230902,52.13333333,4;4,14,4,False,4,0,0,LZ,s1,2,s,1,2,True,True,2,2
37,FLR03_230902,83.76666667,6;11,100,CP,True,,1,1,LZ,s1,2,s,1,2,True,,2,2
